Ingredient,Type,Purpose,Skin Type
Dipeptide Diaminobutyroyl Benzylamide Diacetate,Peptide,Reduces puffiness and dark circles,Sensitive skin
Acetyl Hexapeptide-8,Peptide,"Anti-aging, reduces wrinkles",All skin types
Laminaria Digitata Extract,Extract,"Provides minerals, hydrates, and soothes skin",All skin types
Hyaluronic Acid,Humectant,"Retains moisture, hydrates skin","Dry, sensitive skin"
Octocrylene,UV Filter,Protects skin from UVB rays,All skin types
Butyl Methoxydibenzoylmethane,UV Filter,Protects skin from UVA rays,All skin types
Ethylhexyl Triazone,UV Filter,Protects skin from UVB rays,All skin types
Silica,Absorbent/Thickener,"Provides a matte finish, absorbs excess oil",Oily skin
Aluminum Starch Octenylsuccinate,Absorbent/Thickener,"Absorbs oil, improves texture","Oily, combination skin"
Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer,Silicone/Film-forming Agent,"Smoothens texture, provides water resistance",All skin types
Terephthalylidene Dicamphor Sulfonic Acid,UV Filter,Protects from UV rays,All skin types
Potassium Cetyl Phosphate,Surfactant/Emulsifier,"Stabilizes formulations, improves texture",All skin types
Drometrizole Trisiloxane,Antioxidant/UV Filter,"Protects from UV rays, reduces free radical damage",All skin types
Stearyl Alcohol,Emollient/Emulsifier,"Stabilizes formulations, softens skin",All skin types
Sodium Methyl Stearoyl Taurate,Surfactant,Cleanses and stabilizes emulsions,All skin types
Silica Silylate,Absorbent/Thickener,"Provides matte texture, absorbs excess oil",Oily skin
Poloxamer 338,Surfactant/Emulsifier,"Cleanses skin, stabilizes formulas",All skin types
Octadecenedioic Acid,Brightening Agent,"Improves skin tone, reduces hyperpigmentation",All skin types
Capryloyl Salicylic Acid,Exfoliant/Brightener,"Exfoliates, reduces acne, improves skin texture","Oily, acne-prone skin"
Caprylic/Capric Triglyceride,Emollient,"Softens skin, moisturizes, improves skin texture",Dry skin
Cyclopentasiloxane,Silicone,"Enhances spreadability, improves texture",All skin types
Stearic Acid,Fatty Acid,"Emollient, stabilizes emulsions",Dry skin
Butyrospermum Parkii (Shea) Butter,Butter,"Moisturizes, soothes, and protects skin","Dry, sensitive skin"
Polysorbate 60,Emulsifier,"Stabilizes formulations, improves texture",All skin types
Allyl Methacrylates Crosspolymer,Polymer,"Thickens, stabilizes emulsions",All skin types
Retinol,Vitamin A,"Anti-aging, reduces wrinkles",All skin types
Polysorbate 20,Emulsifier,"Stabilizes formulations, enhances texture",All skin types
Simmondsia Chinensis (Jojoba) Seed Oil,Oil,"Moisturizes, soothes, and balances oil production","Dry, oily skin"
Chamomilla Recutita (Matricaria) Flower Extract,Extract,"Soothes, reduces inflammation",Sensitive skin
Hypericum Perforatum Flower Extract,Extract,"Reduces inflammation, calms skin",Sensitive skin
Malva Sylvestris (Mallow) Flower Extract,Extract,"Soothes, hydrates, reduces irritation",Sensitive skin
Salvia Officinalis (Sage) Leaf Extract,Extract,"Antioxidant, antimicrobial",Oily skin
Sambucus Nigra Flower Extract,Extract,"Antioxidant, soothes skin",All skin types
Cyclohexasiloxane,Silicone,"Provides smooth texture, enhances spreadability",All skin types
Sorbitol,Humectant,Draws moisture into the skin,All skin types
Tocopheryl Acetate,Vitamin E,"Antioxidant, nourishes skin",All skin types
Ubiquinone,Antioxidant,"Reduces signs of aging, repairs skin",All skin types
BHT,Antioxidant,"Preserves the formulation, protects skin",All skin types
Bisabolol,Soothing Agent,"Reduces irritation, soothes skin",Sensitive skin
Dimethicone/Vinyl Dimethicone Crosspolymer,Silicone/Film-forming Agent,"Smoothens texture, provides water resistance",All skin types
Dipotassium Glycyrrhizate,Soothing Agent,"Reduces irritation, calms skin",Sensitive skin
Carbomer,Thickener,"Stabilizes formulations, provides texture",All skin types
Glyceryl Acrylate/Acrylic Acid Copolymer,Polymer,"Stabilizes emulsions, thickens formulations",All skin types
Ethylhexylglycerin,Preservative,"Moisturizes, prevents microbial growth",All skin types
Hexylene Glycol,Solvent,"Dissolves ingredients, improves formulation",All skin types
Octyldodecanol,Emollient,Softens and smoothens skin,Dry skin
Diisopropyl Adipate,Emollient,"Moisturizes, improves texture",Dry skin
Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,Polymer/Thickener,Provides structure and stability to formulas,All skin types
Bis-PEG/PPG-20/5 PEG/PPG-20/5 Dimethicone,Silicone/Emollient,"Enhances smooth texture, reduces greasiness",All skin types
Methoxy PEG/PPG-25/4 Dimethicone,Silicone/Emollient,"Reduces greasiness, enhances texture",All skin types
Triethylene Glycol,Humectant,"Retains moisture, improves formulation",All skin types
BHA,Antioxidant,"Prevents oxidation, enhances product shelf life",All skin types
Hamamelis Virginiana (Witch Hazel) Water,Extract,"Soothes skin, reduces inflammation",Sensitive skin
Polymethyl Methacrylate,Polymer,"Provides smooth texture, improves product feel",All skin types
Apricot Kernel Oil PEG-6 Esters,Oil,"Moisturizes, softens skin, provides antioxidants",Dry skin
Aloe Barbadensis Leaf Juice,Extract,"Soothes, hydrates, reduces irritation",Sensitive skin
Camellia Sinensis (Tea) Extract,Extract,"Antioxidant, protects against environmental stress",All skin types
Aspalathus Linearis (Rooibos) Extract,Extract,"Antioxidant, soothes and calms skin",Sensitive skin
Boswellia Serrata Extract,Extract,"Reduces inflammation, improves skin elasticity",Sensitive skin
